2025.12.10 03:29:25 - OnInit() started
2025.12.10 03:29:25 - === 开始计算神龙通道指标 ===
2025.12.10 03:29:25 - 数据总数: 2119, 先前计算: 0
2025.12.10 03:29:25 - 当前时间: 2025.12.10 00:00, 计算范围: 0-1970
2025.12.10 03:29:25 - CLOSE-BUY | Time=2024.10.21 00:00:00, g116_0=2695.551856, g116_1=2693.473104, g120_0=2729.375104, g120_1=2727.120576, slld0_0=2671.363002, slld8_0=2611.374159, low_0=2719.440000, low_1=2715.040000, high_0=2729.510000, high_1=2720.730000
2025.12.10 03:29:25 - CLOSE-BUY | Time=2024.10.22 16:00:00, g116_0=2710.146528, g116_1=2709.135376, g120_0=2745.510912, g120_1=2744.322688, slld0_0=2685.655397, slld8_0=2626.690346, low_0=2734.110000, low_1=2729.860000, high_0=2748.510000, high_1=2742.200000
2025.12.10 03:29:25 - BUY | Time=2024.10.23 16:00:00, g116_0=2714.167216, g116_1=2713.687984, g120_0=2750.473120, g120_1=2749.895872, slld0_0=2695.298485, slld8_0=2636.393918, low_0=2708.970000, low_1=2731.310000, high_0=2738.490000, high_1=2752.770000
2025.12.10 03:29:25 - BUY | Time=2024.10.25 08:00:00, g116_0=2722.074512, g116_1=2721.059936, g120_0=2757.854624, g120_1=2756.851088, slld0_0=2709.014274, slld8_0=2649.478811, low_0=2717.100000, low_1=2724.260000, high_0=2732.210000, high_1=2730.250000
2025.12.10 03:29:25 - BUY | Time=2024.10.28 00:00:00, g116_0=2726.256352, g116_1=2725.225408, g120_0=2762.438992, g120_1=2761.273312, slld0_0=2713.445581, slld8_0=2653.932098, low_0=2724.770000, low_1=2740.530000, high_0=2740.120000, high_1=2744.950000
2025.12.10 03:29:25 - BUY | Time=2024.10.28 08:00:00, g116_0=2728.413328, g116_1=2727.324688, g120_0=2764.717840, g120_1=2763.587488, slld0_0=2715.600606, slld8_0=2656.003341, low_0=2727.820000, low_1=2729.420000, high_0=2743.660000, high_1=2744.530000
2025.12.10 03:29:25 - CLOSE-BUY | Time=2024.10.29 16:00:00, g116_0=2736.861728, g116_1=2735.858528, g120_0=2773.417424, g120_1=2772.468944, slld0_0=2724.090811, slld8_0=2664.532047, low_0=2760.750000, low_1=2746.520000, high_0=2773.660000, high_1=2771.300000
2025.12.10 03:29:26 - BUY | Time=2024.10.31 12:00:00, g116_0=2736.875840, g116_1=2737.986160, g120_0=2775.331616, g120_1=2775.808528, slld0_0=2739.110140, slld8_0=2679.714617, low_0=2734.620000, low_1=2773.190000, high_0=2782.800000, high_1=2784.170000
2025.12.10 03:29:26 - SELL | Time=2024.11.05 12:00:00, g116_0=2696.931440, g116_1=2699.870960, g120_0=2745.838544, g120_1=2747.896112, slld0_0=2754.178668, slld8_0=2693.649699, low_0=2736.280000, low_1=2731.940000, high_0=2749.550000, high_1=2744.630000
2025.12.10 03:29:26 - CLOSE-SELL | Time=2024.11.06 12:00:00, g116_0=2677.024800, g116_1=2680.453136, g120_0=2730.553392, g120_1=2733.503936, slld0_0=2756.522885, slld8_0=2694.582604, low_0=2652.340000, low_1=2703.870000, high_0=2722.520000, high_1=2733.590000
