2025.12.10 04:09:29 - OnInit() started
2025.12.10 04:09:29 - === 开始计算神龙通道指标 ===
2025.12.10 04:09:29 - 数据总数: 2120, 先前计算: 0
2025.12.10 04:09:29 - 当前时间: 2025.12.10 04:00, 计算范围: 0-770
2025.12.10 04:09:29 - BUY | Time=2025.08.12 16:00:00, g116_0=3334.452064, g116_1=3335.218320, g120_0=3383.091664, g120_1=3384.424608, slld0_0=3397.369424, slld8_0=3311.696572, low_0=3331.310000, low_1=3335.950000, high_0=3358.780000, high_1=3358.030000
2025.12.10 04:09:29 - SELL | Time=2025.08.14 00:00:00, g116_0=3328.913184, g116_1=3329.680672, g120_0=3372.370464, g120_1=3373.717792, slld0_0=3397.200598, slld8_0=3312.395886, low_0=3356.850000, low_1=3350.170000, high_0=3374.980000, high_1=3359.040000
2025.12.10 04:09:29 - BUY | Time=2025.08.19 16:00:00, g116_0=3319.468608, g116_1=3319.480448, g120_0=3355.022976, g120_1=3355.174832, slld0_0=3389.950900, slld8_0=3312.546733, low_0=3315.100000, low_1=3326.050000, high_0=3336.670000, high_1=3344.940000
2025.12.10 04:09:29 - BUY | Time=2025.08.21 12:00:00, g116_0=3326.307488, g116_1=3325.362368, g120_0=3362.666192, g120_1=3361.494608, slld0_0=3383.831196, slld8_0=3310.738074, low_0=3325.560000, low_1=3334.450000, high_0=3347.390000, high_1=3342.230000
2025.12.10 04:09:29 - BUY | Time=2025.08.22 04:00:00, g116_0=3331.023520, g116_1=3329.732768, g120_0=3368.143312, g120_1=3366.636800, slld0_0=3382.101354, slld8_0=3310.539599, low_0=3327.240000, low_1=3333.580000, high_0=3336.100000, high_1=3340.460000
2025.12.10 04:09:29 - SELL | Time=2025.08.22 16:00:00, g116_0=3335.480272, g116_1=3333.841392, g120_0=3373.644688, g120_1=3371.642400, slld0_0=3381.008069, slld8_0=3310.306260, low_0=3333.200000, low_1=3321.650000, high_0=3378.550000, high_1=3335.520000
2025.12.10 04:09:29 - BUY | Time=2025.08.27 16:00:00, g116_0=3376.062560, g116_1=3373.080816, g120_0=3418.412240, g120_1=3414.958128, slld0_0=3385.508873, slld8_0=3316.294587, low_0=3376.020000, low_1=3373.800000, high_0=3398.650000, high_1=3384.650000
2025.12.10 04:09:29 - BUY | Time=2025.08.28 04:00:00, g116_0=3385.863616, g116_1=3382.452496, g120_0=3429.717904, g120_1=3425.807104, slld0_0=3387.341464, slld8_0=3318.346597, low_0=3384.460000, low_1=3385.440000, high_0=3392.440000, high_1=3399.190000
2025.12.10 04:09:29 - BUY | Time=2025.08.29 04:00:00, g116_0=3408.619824, g116_1=3404.675616, g120_0=3456.938256, g120_1=3451.991424, slld0_0=3391.777561, slld8_0=3323.418594, low_0=3406.960000, low_1=3407.820000, high_0=3413.730000, high_1=3419.090000
2025.12.10 04:09:29 - CLOSE-BUY | Time=2025.09.02 20:00:00, g116_0=3477.119472, g116_1=3472.125248, g120_0=3538.023696, g120_1=3532.655696, slld0_0=3416.199388, slld8_0=3343.838110, low_0=3525.190000, low_1=3488.890000, high_0=3539.870000, high_1=3529.970000
2025.12.10 04:09:29 - CLOSE-BUY | Time=2025.09.03 12:00:00, g116_0=3496.519472, g116_1=3491.742368, g120_0=3558.848144, g120_1=3553.701104, slld0_0=3427.210055, slld8_0=3352.171621, low_0=3531.740000, low_1=3529.150000, high_0=3560.950000, high_1=3541.550000
2025.12.10 04:09:29 - BUY | Time=2025.09.04 04:00:00, g116_0=3514.586352, g116_1=3510.229056, g120_0=3578.014176, g120_1=3573.447600, slld0_0=3439.835397, slld8_0=3361.827965, low_0=3511.020000, low_1=3543.550000, high_0=3550.470000, high_1=3564.020000
2025.12.10 04:09:29 - BUY | Time=2025.09.05 08:00:00, g116_0=3545.662080, g116_1=3541.388704, g120_0=3607.734528, g120_1=3603.621184, slld0_0=3461.792616, slld8_0=3379.372147, low_0=3544.820000, low_1=3546.190000, high_0=3557.680000, high_1=3560.740000
2025.12.10 04:09:29 - CLOSE-BUY | Time=2025.09.08 12:00:00, g116_0=3573.883072, g116_1=3570.057296, g120_0=3634.018240, g120_1=3630.587696, slld0_0=3483.732715, slld8_0=3397.983211, low_0=3612.370000, low_1=3588.960000, high_0=3636.440000, high_1=3616.370000
2025.12.10 04:09:29 - CLOSE-BUY | Time=2025.09.09 00:00:00, g116_0=3584.134512, g116_1=3580.995232, g120_0=3643.084320, g120_1=3640.200736, slld0_0=3493.609057, slld8_0=3407.091762, low_0=3627.800000, low_1=3631.380000, high_0=3647.270000, high_1=3637.500000
2025.12.10 04:09:29 - BUY | Time=2025.09.11 08:00:00, g116_0=3616.351456, g116_1=3614.636048, g120_0=3669.086176, g120_1=3667.808096, slld0_0=3542.987832, slld8_0=3453.024460, low_0=3614.060000, low_1=3623.250000, high_0=3637.870000, high_1=3643.320000
2025.12.10 04:09:29 - BUY | Time=2025.09.15 00:00:00, g116_0=3629.268624, g116_1=3628.419392, g120_0=3680.842128, g120_1=3679.709408, slld0_0=3570.938054, slld8_0=3481.530349, low_0=3626.530000, low_1=3643.460000, high_0=3645.960000, high_1=3649.330000
2025.12.10 04:09:29 - CLOSE-BUY | Time=2025.09.15 16:00:00, g116_0=3632.874320, g116_1=3631.935760, g120_0=3685.596032, g120_1=3684.365728, slld0_0=3580.299746, slld8_0=3491.853366, low_0=3653.510000, low_1=3637.060000, high_0=3685.920000, high_1=3663.880000
2025.12.10 04:09:29 - CLOSE-BUY | Time=2025.09.16 00:00:00, g116_0=3634.767056, g116_1=3633.891120, g120_0=3687.971408, g120_1=3686.742576, slld0_0=3585.076822, slld8_0=3496.965306, low_0=3675.960000, low_1=3676.140000, high_0=3689.410000, high_1=3683.070000
2025.12.10 04:09:29 - CLOSE-BUY | Time=2025.09.16 08:00:00, g116_0=3636.262048, g116_1=3635.566128, g120_0=3690.389920, g120_1=3689.158512, slld0_0=3589.887758, slld8_0=3502.232371, low_0=3681.600000, low_1=3674.580000, high_0=3698.400000, high_1=3685.210000
2025.12.10 04:09:29 - CLOSE-BUY | Time=2025.09.17 20:00:00, g116_0=3642.984400, g116_1=3642.096816, g120_0=3703.010464, g120_1=3701.216064, slld0_0=3612.207691, slld8_0=3525.715797, low_0=3646.120000, low_1=3676.730000, high_0=3707.320000, high_1=3688.410000
2025.12.10 04:09:29 - BUY | Time=2025.09.18 08:00:00, g116_0=3646.924832, g116_1=3645.466832, g120_0=3708.309632, g120_1=3706.407200, slld0_0=3619.644781, slld8_0=3531.990957, low_0=3634.190000, low_1=3649.480000, high_0=3672.610000, high_1=3665.750000
2025.12.10 04:09:29 - CLOSE-BUY | Time=2025.09.22 16:00:00, g116_0=3683.567936, g116_1=3680.425936, g120_0=3746.814944, g120_1=3743.528848, slld0_0=3646.151224, slld8_0=3553.388249, low_0=3716.740000, low_1=3712.040000, high_0=3747.090000, high_1=3728.230000
2025.12.10 04:09:29 - CLOSE-BUY | Time=2025.09.23 00:00:00, g116_0=3689.856480, g116_1=3686.780352, g120_0=3753.312576, g120_1=3750.036912, slld0_0=3650.157567, slld8_0=3557.273508, low_0=3738.090000, low_1=3742.330000, high_0=3759.130000, high_1=3748.620000
2025.12.10 04:09:29 - BUY | Time=2025.09.24 20:00:00, g116_0=3720.886144, g116_1=3718.511392, g120_0=3786.301168, g120_1=3783.331600, slld0_0=3679.936091, slld8_0=3584.361172, low_0=3717.010000, low_1=3731.830000, high_0=3737.050000, high_1=3764.590000
2025.12.10 04:09:29 - BUY | Time=2025.09.25 12:00:00, g116_0=3731.038256, g116_1=3728.459024, g120_0=3798.773696, g120_1=3795.534368, slld0_0=3690.690522, slld8_0=3594.059669, low_0=3722.010000, low_1=3737.260000, high_0=3760.380000, high_1=3761.170000
2025.12.10 04:09:29 - CLOSE-BUY | Time=2025.09.30 04:00:00, g116_0=3783.300080, g116_1=3779.792688, g120_0=3858.660896, g120_1=3854.508720, slld0_0=3728.351028, slld8_0=3628.373000, low_0=3842.410000, low_1=3825.550000, high_0=3870.210000, high_1=3850.670000
2025.12.10 04:09:29 - CLOSE-BUY | Time=2025.10.01 08:00:00, g116_0=3811.355360, g116_1=3807.276368, g120_0=3886.657136, g120_1=3882.692240, slld0_0=3751.172829, slld8_0=3645.558441, low_0=3853.260000, low_1=3855.480000, high_0=3895.220000, high_1=3875.370000
2025.12.10 04:09:29 - BUY | Time=2025.10.02 16:00:00, g116_0=3843.826880, g116_1=3839.687056, g120_0=3917.795600, g120_1=3913.687264, slld0_0=3778.289518, slld8_0=3668.657994, low_0=3818.970000, low_1=3873.780000, high_0=3876.930000, high_1=3897.240000
2025.12.10 04:09:29 - CLOSE-BUY | Time=2025.10.08 04:00:00, g116_0=3937.505264, g116_1=3933.448336, g120_0=4026.530000, g120_1=4020.735136, slld0_0=3845.685936, slld8_0=3732.777617, low_0=3995.520000, low_1=3982.420000, high_0=4036.550000, high_1=3999.850000
2025.12.10 04:09:29 - BUY | Time=2025.10.09 16:00:00, g116_0=3970.050192, g116_1=3966.571120, g120_0=4074.654096, g120_1=4069.570336, slld0_0=3885.231357, slld8_0=3768.451673, low_0=3944.960000, low_1=4017.790000, high_0=4028.800000, high_1=4057.750000
2025.12.10 04:09:29 - CLOSE-BUY | Time=2025.10.16 20:00:00, g116_0=4152.987440, g116_1=4151.323328, g120_0=4308.561584, g120_1=4303.222352, slld0_0=4034.307840, slld8_0=3882.326002, low_0=4273.450000, low_1=4245.330000, high_0=4330.640000, high_1=4298.440000
2025.12.10 04:09:29 - CLOSE-BUY | Time=2025.10.20 12:00:00, g116_0=4138.214560, g116_1=4141.707184, g120_0=4315.652752, g120_1=4317.431536, slld0_0=4104.483821, slld8_0=3930.528134, low_0=4245.830000, low_1=4221.560000, high_0=4327.050000, high_1=4265.430000
2025.12.10 04:09:29 - BUY | Time=2025.10.21 16:00:00, g116_0=4097.952240, g116_1=4105.150992, g120_0=4281.258432, g120_1=4288.505568, slld0_0=4152.066257, slld8_0=3960.780940, low_0=4082.150000, low_1=4167.810000, high_0=4188.140000, high_1=4272.320000
2025.12.10 04:09:29 - BUY | Time=2025.10.22 00:00:00, g116_0=4083.917840, g116_1=4090.987680, g120_0=4265.716160, g120_1=4273.497504, slld0_0=4163.675494, slld8_0=3966.135357, low_0=4004.690000, low_1=4100.630000, high_0=4132.670000, high_1=4130.920000
2025.12.10 04:09:29 - BUY | Time=2025.10.22 08:00:00, g116_0=4070.653808, g116_1=4077.336992, g120_0=4249.169312, g120_1=4257.551744, slld0_0=4173.867327, slld8_0=3969.466432, low_0=4057.040000, low_1=4087.100000, high_0=4160.880000, high_1=4146.520000
2025.12.10 04:09:29 - SELL | Time=2025.10.24 16:00:00, g116_0=3988.820752, g116_1=3994.495248, g120_0=4135.670896, g120_1=4143.196560, slld0_0=4204.023938, slld8_0=3972.505380, low_0=4102.250000, low_1=4044.490000, high_0=4138.480000, high_1=4121.580000
2025.12.10 04:09:29 - CLOSE-SELL | Time=2025.10.28 04:00:00, g116_0=3948.035232, g116_1=3951.485680, g120_0=4083.115344, g120_1=4087.561648, slld0_0=4201.607870, slld8_0=3972.578822, low_0=3938.300000, low_1=3973.340000, high_0=3994.310000, high_1=4019.560000
2025.12.10 04:09:29 - CLOSE-SELL | Time=2025.10.28 20:00:00, g116_0=3937.083792, g116_1=3939.434832, g120_0=4069.297680, g120_1=4072.142208, slld0_0=4195.489082, slld8_0=3966.886347, low_0=3916.110000, low_1=3945.060000, high_0=3962.640000, high_1=3970.160000
2025.12.10 04:09:29 - CLOSE-SELL | Time=2025.10.29 20:00:00, g116_0=3927.334864, g116_1=3928.520752, g120_0=4056.344176, g120_1=4058.254768, slld0_0=4183.344265, slld8_0=3955.216435, low_0=3916.840000, low_1=3942.950000, high_0=3979.730000, high_1=4011.800000
2025.12.10 04:09:29 - BUY | Time=2025.11.04 12:00:00, g116_0=3941.543920, g116_1=3940.967680, g120_0=4033.279936, g120_1=4033.974880, slld0_0=4147.781306, slld8_0=3930.277306, low_0=3928.680000, low_1=3982.210000, high_0=3999.870000, high_1=4000.590000
2025.12.10 04:09:30 - BUY | Time=2025.11.06 16:00:00, g116_0=3973.241248, g116_1=3969.568528, g120_0=4052.825824, g120_1=4049.379760, slld0_0=4123.852849, slld8_0=3923.974217, low_0=3965.700000, low_1=3989.190000, high_0=3993.790000, high_1=4019.280000
2025.12.10 04:09:30 - BUY | Time=2025.11.07 12:00:00, g116_0=3996.609728, g116_1=3991.417456, g120_0=4076.245664, g120_1=4070.709040, slld0_0=4115.450753, slld8_0=3923.708511, low_0=3984.220000, low_1=4002.680000, high_0=4011.840000, high_1=4013.790000
